Asana Gruppe AG Spital Menziken;J.2 Sepsis; ; ; ; ; ; ; ; ;
Asana Gruppe AG Spital Menziken;J.2.1.M HD Sepsis, Mortalität;8.0%;18.5%;0.4;25;16.7%;16.9%;1;18;
institution;indicator;taux observé 2009;taux attendu 2009;SMR 2009;nombre de cas 2009;taux observé 2010;taux attendu 2010;SMR 2010;nombre de cas 2010;
Clinique Générale - Ste­Anne SA;A Maladies cardiaques; ; ; ; ; ; ; ; ;
Clinique Générale - Ste­Anne SA;A.1 Infarctus du myocarde; ; ; ; ; ; ; ; ;
Clinique Générale - Ste­Anne SA;A.1.1.M DP infarctus du myocarde (âge >19), mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;A.1.2.M DP infarctus du myocarde, âge 20-44, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;A.1.3.M DP infarctus du myocarde, âge 45-64, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;A.1.4.M DP infarctus du myocarde, âge 65-84, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;A.1.5.M DP infarctus du myocarde, âge >84, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;A.1.6.P DP infarctus du myocarde (âge >19), avec CCG ou OP coronarienne, pourcentage;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;A.1.7.M DP infarctus du myocarde (âge >19), admissions directes pas transféré, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;A.1.8.M DP infarctus du myocarde (âge >19), transféré d’un autre hôpital, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;A.1.9.P Infarctus aigu du myocarde non précisé (âge >19), pourcentage;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;A.1.10.M Infarctus du myocarde transmural (âge >19), mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;A.1.11.M Infarctus non transmural/NSTEMI (âge >19), mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;A.2 Insuffisance cardiaque; ; ; ; ; ; ; ; ;
Clinique Générale - Ste­Anne SA;A.2.1.M DP insuffisance cardiaque (âge >19), mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;A.2.2.M DP insuffisance cardiaque, âge 20-44, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;A.2.3.M DP insuffisance cardiaque, âge 45-64, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;A.2.4.M DP insuffisance cardiaque, âge 65-84, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;A.2.5.M DP insuffisance cardiaque, âge >84, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;A.3 Cathétérisme cardiaque gauche (CCG); ; ; ; ; ; ; ; ;
Clinique Générale - Ste­Anne SA;A.3.1.F Total des cas avec CCG avec diagnostic et intervention sur les artères coronaires;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;A.3.2.M Cas avec CCG en cas d'infarctus du myocarde (âge >19), sans OP du cœur, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;A.3.3.M Cas avec CCG sans infarctus du myocarde avec diagnostic de complications (âge >19), mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;A.3.4.M Cas avec CCG sans infarctus du myocarde sans diagnostic de complications (âge >19), mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;A.3.5.P Cathétérisme thérapeutique sans infarctus du myocarde ou diagnostic de complications (âge >19), pourcentage;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;A.3.6.F Cas avec CCG chez l'enfant et l'adolescent (âge <20);*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;A.4 Troubles du rythme cardiaque; ; ; ; ; ; ; ; ;
Clinique Générale - Ste­Anne SA;A.4.1.F DP troubles du rythme cardiaque;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;A.5 Traitement par pacemaker ou défibrillateur implantable; ; ; ; ; ; ; ; ;
Clinique Générale - Ste­Anne SA;A.5.1.F Traitement par pacemaker (implantation et changement, défibrillateur inclus);*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;A.5.2.F Implantation et changement de défibrillateur;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;A.6 Traitement par ablation; ; ; ; ; ; ; ; ;
Clinique Générale - Ste­Anne SA;A.6.1.F Ablation par cathéter;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;A.6.2.F Ablation chirurgicale;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;A.7 Opérations du cœur; ; ; ; ; ; ; ; ;
Clinique Générale - Ste­Anne SA;A.7.1.F Total des OP du cœur;*;*;*;<10;*;*;*;0;
Clinique Générale - Ste­Anne SA;A.7.2.F OP des valves cardiaques;*;*;*;<10;*;*;*;0;
Clinique Générale - Ste­Anne SA;A.7.3.F OP des vaisseaux coronaires;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;A.7.4.F Autres OP du cœur;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;A.7.5.F OP combinée du cœur;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;A.7.6.F OP du cœur chez l'enfant et l'adolescent (âge <20);*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;A.7.7.M Remplacement isolé de valve aortique à cœur ouvert sans autre OP du cœur, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;A.7.11.M OP des vaisseaux coronaires uniquement, en cas d'infarctus du myocarde (âge >19), mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;A.7.12.M OP des vaisseaux coronaires uniquement, sans infarctus du myocarde (âge >19), mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;A.7.13.M OP des vaisseaux coronaires uniquement, sans infarctus du myocarde, âge 20-49, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;A.7.14.M OP des vaisseaux coronaires uniquement, sans infarctus du myocarde, âge 50-59, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;A.7.15.M OP des vaisseaux coronaires uniquement, sans infarctus du myocarde, âge 60-69, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;A.7.16.M OP des vaisseaux coronaires uniquement, sans infarctus du myocarde, âge 70-79, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;A.7.17.M OP des vaisseaux coronaires uniquement, sans infarctus du myocarde, âge >79, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;A.7.18.P Cas de respiration artificielle >95 h en cas d'OP des vaisseaux coronaires uniquement, sans infarctus du myocarde (âge >19), pourcentage;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;B.1 Accident vasculaire cérébral (attaque cérébrale); ; ; ; ; ; ; ; ;
Clinique Générale - Ste­Anne SA;B.1.1.M DP d’accident vasculaire cérébral, toutes les formes (âge >19), mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;B.1.2.M DP d’accident vasculaire cérébral, toutes les formes, âge 20-44, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;B.1.3.M DP d’accident vasculaire cérébral, toutes les formes, âge 45-64, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;B.1.4.M DP d’accident vasculaire cérébral, toutes les formes, âge 65-84, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;B.1.5.M DP d’accident vasculaire cérébral, toutes les formes, âge >84, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;B.1.6.P DP d'accident vasculaire cérébral (âge >19) avec traitement en unité cérébro­vasculaire, pourcentage;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;B.1.7.M Infarctus cérébral (CIM­10 I63, âge >19), mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;B.1.8.M Infarctus cérébral (CIM­10 I63, âge >19), admissions directes, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;B.1.9.P Infarctus cérébral (CIM­10 I63, âge >19) avec thrombolyse systémique, pourcentage;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;B.1.9.M Infarctus cérébral (CIM­10 I63, âge >19) avec thrombolyse systémique, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;B.1.10.M Hémorragie intracérébrale (CIM­10 I61, âge >19), mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;B.1.11.M Hémorragie sous­arachnoïdienne (CIM­10 I60, âge >19), mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;B.1.12.P Accident vasculaire cérébral, sans précision (CIM­10 I64, âge >19), pourcentage;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;B.1.12.M Accident vasculaire cérébral, sans précision (CIM­10 I64, âge >19), mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;B.2 Accident ischémique transitoire (AIT); ; ; ; ; ; ; ; ;
Clinique Générale - Ste­Anne SA;B.2.1.M AIT, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;B.2.2.P AIT avec traitement en unité cérébro­vasculaire, pourcentage;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;C Rééducation gériatrique précoce; ; ; ; ; ; ; ; ;
Clinique Générale - Ste­Anne SA;C.1 Rééducation gériatrique précoce; ; ; ; ; ; ; ; ;
Clinique Générale - Ste­Anne SA;C.1.1.F Rééducation gériatrique précoce;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;D Maladies pulmonaires; ; ; ; ; ; ; ; ;
Clinique Générale - Ste­Anne SA;D.1 Pneumonie; ; ; ; ; ; ; ; ;
Clinique Générale - Ste­Anne SA;D.1.1.M DP de pneumonie, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;D.1.2.M DP de pneumonie, âge <20, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;D.1.3.M DP de pneumonie, âge 20-44, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;D.1.4.M DP de pneumonie, âge 45-64, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;D.1.5.M DP de pneumonie, âge 65-84, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;D.1.6.M DP de pneumonie, âge >84, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;D.1.7.M DP de pneumonie, âge 1-19, sans tumeur ni mucoviscidose, admissions directes, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;D.1.8.M DP de pneumonie, âge >19, sans tumeur ni mucoviscidose, admissions directes, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;D.2 Broncho-pneumopathie chronique obstructive (BPCO); ; ; ; ; ; ; ; ;
Clinique Générale - Ste­Anne SA;D.2.1.M BPCO (âge >19), mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;D.2.2.M BPCO (âge >19), avec VEF1 <35 %, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;D.2.3.M BPCO (âge >19), avec VEF1 35-49 %, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;D.2.4.M BPCO (âge >19), avec VEF1 50-69 %, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;D.2.5.M BPCO (âge >19), avec VEF1 >69%, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;D.2.6.P BPCO (âge >19), avec VEF1 non précisé, pourcentage;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;D.2.6.M BPCO (âge >19), avec VEF1 non précisé, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;D.3 Cancer du poumon (carcinome bronchique); ; ; ; ; ; ; ; ;
Clinique Générale - Ste­Anne SA;D.3.1.F Hospitalisations en cas de cancer du poumon;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;D.4 Opérations du poumon; ; ; ; ; ; ; ; ;
Clinique Générale - Ste­Anne SA;D.4.1.M Total des résections pulmonaires ou bronchiques majeures, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;D.4.2.P Pneumonectomie en cas de carcinome bronchique, pourcentage;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;D.4.2.M Pneumonectomie en cas de carcinome bronchique, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;D.4.3.M Résections pulmonaires partielles en cas de carcinome bronchique, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;E Opérations des organes abdominaux et de la thyroïde (chirurgie viscérale); ; ; ; ; ; ; ; ;
Clinique Générale - Ste­Anne SA;E.1 Ablation de la vésicule biliaire (cholécystectomie); ; ; ; ; ; ; ; ;
Clinique Générale - Ste­Anne SA;E.1.1.M Cholécystectomie en cas de calculs biliaires et cholécystite, sans tumeur, mortalité;0.0%;0.0%;0;13;0.0%;0.1%;0;31;
Clinique Générale - Ste­Anne SA;E.1.2.P Laparoscopie avec cholécystectomie en cas de calculs biliaires et cholécystite, sans tumeur, pourcentage;100.0%;93.1%;*;13;100.0%;93.6%;*;31;
Clinique Générale - Ste­Anne SA;E.2 Réparations de hernie; ; ; ; ; ; ; ; ;
Clinique Générale - Ste­Anne SA;E.2.1.M Herniotomie sans OP de l'intestin, mortalité;0.0%;0.0%;0;53;0.0%;0.0%;0;74;
Clinique Générale - Ste­Anne SA;E.2.2.M Herniotomie avec OP de l'intestin, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;E.3 Opérations de la thyroïde; ; ; ; ; ; ; ; ;
Clinique Générale - Ste­Anne SA;E.3.1.F Résections thyroïdiennes;*;*;*;<10;*;*;*;<10;
Clinique Générale - Ste­Anne SA;E.3.2.P Cas de respiration artificielle >95 h en cas de résections thyroïdiennes, pourcentage;0.0%;0.3%;*;0;0.0%;0.3%;*;0;
Clinique Générale - Ste­Anne SA;E.3.3.F Radiothérapie par iode radioactif;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;E.4 Opérations majeures du côlon et du rectum (opérations colorectales); ; ; ; ; ; ; ; ;
Clinique Générale - Ste­Anne SA;E.4.1.M Total des résections colorectales, mortalité;*;*;*;<10;*;*;*;<10;
Clinique Générale - Ste­Anne SA;E.4.2.M Résections du côlon pour cancer colorectal sans diagnostic compliquant, mortalité;*;*;*;<10;*;*;*;<10;
Clinique Générale - Ste­Anne SA;E.4.3.M Résections du côlon pour cancer colorectal avec diagnostic compliquant, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;E.4.4.M Résections du rectum pour cancer colorectal, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;E.4.5.M Résections colorectales pour diverticule sans abcès/perforation, mortalité;*;*;*;0;*;*;*;<10;
Clinique Générale - Ste­Anne SA;E.4.6.M Résections colorectales pour diverticule avec abcès/perforation, mortalité;*;*;*;<10;*;*;*;0;
Clinique Générale - Ste­Anne SA;E.4.7.M Résections colorectales pour ischémie intestinale, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;E.4.8.F Résections du côlon pour autre diagnostic;*;*;*;<10;*;*;*;0;
Clinique Générale - Ste­Anne SA;E.4.9.F Interventions colorectales locales pour cancer colorectal;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;E.4.10.F Interventions colorectales locales, affection autre que cancer colorectal;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;E.5 Opérations de l'estomac; ; ; ; ; ; ; ; ;
Clinique Générale - Ste­Anne SA;E.5.1.F Total des gastrectomies;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;E.5.2.M Gastrectomies (sans OP de l'œsophage) en cas de cancer de l'estomac, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;E.5.3.M Gastrectomies avec OP complexe de l'œsophage, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;E.6 Opérations de l’œsophage; ; ; ; ; ; ; ; ;
Clinique Générale - Ste­Anne SA;E.6.1.M Interventions complexes de l’œsophage, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;E.7 Opérations du pancréas; ; ; ; ; ; ; ; ;
Clinique Générale - Ste­Anne SA;E.7.1.M Total des résections du pancréas (sans transplantation, âge >19), mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;F Opérations de vaisseaux; ; ; ; ; ; ; ; ;
Clinique Générale - Ste­Anne SA;F.1 Opérations des vaisseaux extra­crâniens; ; ; ; ; ; ; ; ;
Clinique Générale - Ste­Anne SA;F.1.1.M OP des vaisseaux extra­crâniens, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;F.1.2.M Implantation percutanée de stents dans des vaisseaux extra­crâniens, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;F.1.3.F Autres OP des vaisseaux extra­crâniens en cas d'OP du cœur ou de l'aorte;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;F.2 Opérations en cas de dilatation de l'aorte (anévrisme de l'aorte); ; ; ; ; ; ; ; ;
Clinique Générale - Ste­Anne SA;F.2.1.F Total des OP de l'aorte;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;F.2.2.M OP abdominale à ciel ouvert en cas d'anévrisme de l'aorte sans rupture, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;F.2.3.M OP abdominale endovasculaire en cas d'anévrisme de l'aorte sans rupture, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;F.2.4.F OP en cas d'anévrisme de l'aorte thoracique ou thoraco­abdominale (sans valve aortique);*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;F.2.5.M Anévrisme de l'aorte avec rupture, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;F.3 Opérations des artères du bassin et des jambes; ; ; ; ; ; ; ; ;
Clinique Générale - Ste­Anne SA;F.3.1.F Total des OP des artères du bassin/des jambes;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;F.3.2.M OP des artères du bassin/des jambes en cas de claudication, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;F.3.3.M OP des artères du bassin/des jambes en cas de douleurs au repos, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;F.3.4.M OP des artères du bassin/des jambes en cas d'ulcération ou de gangrène, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;F.3.5.M OP des artères du bassin/des jambes en cas d'embolie/de thrombose des artères, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;F.3.6.M OP des artères du bassin/des jambes en cas de complications dues à des prothèses/implants, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;F.3.7.M OP des artères du bassin/des jambes en cas d'anévrisme/de dissection, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;F.3.8.F OP des artères du bassin/des jambes combinée à une OP de l'aorte;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;F.3.9.F OP des artères du bassin/des jambes en cas d'autre diagnostic complexe;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;F.4 Amputations; ; ; ; ; ; ; ; ;
Clinique Générale - Ste­Anne SA;F.4.1.M Amputation non traumatique au niveau du pied, mortalité;*;*;*;<10;*;*;*;<10;
Clinique Générale - Ste­Anne SA;F.4.2.M Amputation non traumatique de membre inférieur, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;G Gynécologie et obstétrique; ; ; ; ; ; ; ; ;
Clinique Générale - Ste­Anne SA;G.1 Accouchements; ; ; ; ; ; ; ; ;
Clinique Générale - Ste­Anne SA;G.1.1.F Accouchements hospitaliers;*;*;*;<10;*;*;*;<10;
Clinique Générale - Ste­Anne SA;G.1.1.P Accouchements hospitaliers contribuant au décès de la mère, poucentage;0.0%;0.0%;*;0;0.0%;0.0%;*;0;
Clinique Générale - Ste­Anne SA;G.1.2.P Accouchements par voie vaginale avec rupture périnéale du 3ème et 4ème degré, pourcentage;0.0%;2.9%;*;0;0.0%;3.1%;*;0;
Clinique Générale - Ste­Anne SA;G.1.3.P Accouchements par voie vaginale avec épisiotomie, pourcentage;0.0%;28.9%;*;0;*;*;*;<10;
Clinique Générale - Ste­Anne SA;G.1.4.P Césariennes, pourcentage;0.0%;32.5%;*;0;0.0%;32.6%;*;0;
Clinique Générale - Ste­Anne SA;G.2 Nouveau­nés; ; ; ; ; ; ; ; ;
Clinique Générale - Ste­Anne SA;G.2.1.F Nouveau­nés <1250 g;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;G.2.2.F Nouveau­nés <1250 g, transféré d’un autre hôpital;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;G.2.3.F Nouveau­nés <500 g;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;G.2.4.F Nouveau­nés 500-749 g;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;G.2.5.F Nouveau­nés 750-999 g;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;G.2.6.F Nouveau­nés 1000-1249 g;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;G.2.7.F Nouveau­nés 1250-1499 g;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;G.2.8.F Nouveau­nés 1500-2499 g;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;G.2.9.F Nouveau­nés >2499 g ou sans indication de poids;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;G.3 Ablation de l’utérus pour affections bénignes (hystérectomie); ; ; ; ; ; ; ; ;
Clinique Générale - Ste­Anne SA;G.3.1.M Hystérectomie pour affections bénignes, mortalité;0.0%;0.0%;0;92;0.0%;0.0%;0;109;
Clinique Générale - Ste­Anne SA;G.3.2.P Hystérectomies laparoscopiques/vaginales, sans plastie, pourcentage;81.1%;73.0%;*;73;86.8%;71.8%;*;92;
Clinique Générale - Ste­Anne SA;G.4 Cancer du sein; ; ; ; ; ; ; ; ;
Clinique Générale - Ste­Anne SA;G.4.1.F Traitements hospitaliers en cas de cancer du sein;*;*;*;36;*;*;*;49;
Clinique Générale - Ste­Anne SA;G.5 Interventions du sein; ; ; ; ; ; ; ; ;
Clinique Générale - Ste­Anne SA;G.5.1.F Total des interventions du sein (résections et plasties mammaires);*;*;*;31;*;*;*;43;
Clinique Générale - Ste­Anne SA;G.5.2.F Résections mammaires en cas de cancer du sein;*;*;*;19;*;*;*;37;
Clinique Générale - Ste­Anne SA;G.5.3.P Résections partielles en cas de cancer du sein, pourcentage;52.6%;67.4%;*;10;75.7%;69.2%;*;28;
Clinique Générale - Ste­Anne SA;H Maladies des voies urinaires et des organes génitaux masculins; ; ; ; ; ; ; ; ;
Clinique Générale - Ste­Anne SA;H.1 Ablation du rein (néphrectomie et néphrectomie partielle); ; ; ; ; ; ; ; ;
Clinique Générale - Ste­Anne SA;H.1.1.M Néphrectomie totale, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;H.1.2.P OP laparoscopique en cas de néphrectomie totale, pourcentage;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;H.1.3.P Néphrectomie partielle, pourcentage;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;H.1.3.M Néphrectomie partielle, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;H.1.4.P OP laparoscopique en cas de néphrectomie partielle, pourcentage;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;H.2 Calculs rénaux; ; ; ; ; ; ; ; ;
Clinique Générale - Ste­Anne SA;H.2.1.F DP calculs rénaux;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;H.2.2.P Intervention pour extraction des calculs en cas de DP calculs rénaux, pourcentage;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;H.3 Opérations de la vessie; ; ; ; ; ; ; ; ;
Clinique Générale - Ste­Anne SA;H.3.1.F DP tumeur maligne de la vessie;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;H.3.2.F Total des RTU de vessie;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;H.3.3.F RTU de vessie en cas de tumeur maligne;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;H.3.4.P RTU en cas de tumeur maligne avec instillation de médicaments chimiothérapeutiques dans la vessie, pourcentage;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;H.3.5.M Ablation de la vessie (cystectomie), mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;H.4 Résection prostatique transurétrale (TURP); ; ; ; ; ; ; ; ;
Clinique Générale - Ste­Anne SA;H.4.1.M RTU de prostate, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;H.5 Carcinome de la prostate; ; ; ; ; ; ; ; ;
Clinique Générale - Ste­Anne SA;H.5.1.F Carcinome de la prostate (DP ou DS);*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;H.5.2.M Prostatovésiculectomie radicale, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;I Affections orthopédiques et traumatologiques; ; ; ; ; ; ; ; ;
Clinique Générale - Ste­Anne SA;I.1 Remplacement de l'articulation, endoprothèse totale (EPT); ; ; ; ; ; ; ; ;
Clinique Générale - Ste­Anne SA;I.1.1.M Première implantation d'EPT de hanche (pas en cas de fracture), mortalité;0.0%;0.1%;0;198;0.0%;0.2%;0;159;
Clinique Générale - Ste­Anne SA;I.1.2.M Changement d'EPT de hanche et changement de composants, mortalité;3.2%;0.4%;7.8;31;0.0%;0.7%;0;20;
Clinique Générale - Ste­Anne SA;I.1.3.M Première implantation d'EPT de genou, mortalité;0.0%;0.1%;0;156;0.0%;0.1%;0;169;
Clinique Générale - Ste­Anne SA;I.1.4.M Changement d'EPT de genou, mortalité;0.0%;0.0%;*;11;0.0%;0.7%;0;27;
Clinique Générale - Ste­Anne SA;I.1.5.M EPT de hanche ou de genou après chirurgie tumorale, mortalité;*;*;*;0;*;*;*;0;
Clinique Générale - Ste­Anne SA;I.2 Opérations de la colonne vertébrale; ; ; ; ; ; ; ; ;
Clinique Générale - Ste­Anne SA;I.2.1.F Total des OP de la colonne vertébrale;*;*;*;220;*;*;*;226;
Clinique Générale - Ste­Anne SA;I.2.2.M Discectomie (sans accident, tumeur, OP complexe de la colonne vertébrale), mortalité;0.0%;0.0%;0;109;0.0%;0.1%;0;115;
Clinique Générale - Ste­Anne SA;I.3 Fractures métaphysaires de la hanche; ; ; ; ; ; ; ; ;
