institution;indicator;taux observé 2008;taux attendu 2008;SMR 2008;nombre de cas 2008;taux observé 2009;taux attendu 2009;SMR 2009;nombre de cas 2009;
Hôpital de la Providence;G.1.1.P Accouchements hospitaliers contribuant au décès de la mère, poucentage;*;*;*;0;*;*;*;0;
Hôpital de la Providence;G.1.2.P Accouchements par voie vaginale avec rupture périnéale du 3ème et 4ème degré, pourcentage;*;*;*;0;*;*;*;0;
Hôpital de la Providence;G.1.3.P Accouchements par voie vaginale avec épisiotomie, pourcentage;*;*;*;0;*;*;*;0;
Hôpital de la Providence;G.1.4.P Césariennes, pourcentage;*;*;*;0;*;*;*;0;
Hôpital de la Providence;G.2 Nouveau­nés; ; ; ; ; ; ; ; ;
Hôpital de la Providence;G.2.1.F Nouveau­nés <1250 g;*;*;*;...;*;*;*;0;
Hôpital de la Providence;G.2.2.F Nouveau­nés <1250 g, transféré d’un autre hôpital;*;*;*;...;*;*;*;0;
Hôpital de la Providence;G.2.3.F Nouveau­nés <500 g;*;*;*;...;*;*;*;0;
Hôpital de la Providence;G.2.4.F Nouveau­nés 500-749 g;*;*;*;...;*;*;*;0;
Hôpital de la Providence;G.2.5.F Nouveau­nés 750-999 g;*;*;*;...;*;*;*;0;
Hôpital de la Providence;G.2.6.F Nouveau­nés 1000-1249 g;*;*;*;...;*;*;*;0;
Hôpital de la Providence;G.2.7.F Nouveau­nés 1250-1499 g;*;*;*;...;*;*;*;0;
Hôpital de la Providence;G.2.8.F Nouveau­nés 1500-2499 g;*;*;*;...;*;*;*;0;
Hôpital de la Providence;G.2.9.F Nouveau­nés >2499 g ou sans indication de poids;*;*;*;...;*;*;*;0;
Hôpital de la Providence;G.3 Ablation de l’utérus pour affections bénignes (hystérectomie); ; ; ; ; ; ; ; ;
Hôpital de la Providence;G.3.1.M Hystérectomie pour affections bénignes, mortalité;*;*;*;0;*;*;*;0;
Hôpital de la Providence;G.3.2.P Hystérectomies laparoscopiques/vaginales, sans plastie, pourcentage;*;*;*;0;*;*;*;0;
Hôpital de la Providence;G.4 Cancer du sein; ; ; ; ; ; ; ; ;
Hôpital de la Providence;G.4.1.F Traitements hospitaliers en cas de cancer du sein;*;*;*;<10;*;*;*;<10;
Hôpital de la Providence;G.5 Interventions du sein; ; ; ; ; ; ; ; ;
Hôpital de la Providence;G.5.1.F Total des interventions du sein (résections et plasties mammaires);*;*;*;0;*;*;*;0;
Hôpital de la Providence;G.5.2.F Résections mammaires en cas de cancer du sein;*;*;*;0;*;*;*;0;
Hôpital de la Providence;G.5.3.P Résections partielles en cas de cancer du sein, pourcentage;*;*;*;0;*;*;*;0;
Hôpital de la Providence;H Maladies des voies urinaires et des organes génitaux masculins; ; ; ; ; ; ; ; ;
Hôpital de la Providence;H.1 Ablation du rein (néphrectomie et néphrectomie partielle); ; ; ; ; ; ; ; ;
Hôpital de la Providence;H.1.1.M Néphrectomie totale, mortalité;*;*;*;0;*;*;*;0;
Hôpital de la Providence;H.1.2.P OP laparoscopique en cas de néphrectomie totale, pourcentage;*;*;*;0;*;*;*;0;
Hôpital de la Providence;H.1.3.P Néphrectomie partielle, pourcentage;*;*;*;0;*;*;*;0;
Hôpital de la Providence;H.1.3.M Néphrectomie partielle, mortalité;*;*;*;0;*;*;*;0;
Hôpital de la Providence;H.1.4.P OP laparoscopique en cas de néphrectomie partielle, pourcentage;*;*;*;0;*;*;*;0;
Hôpital de la Providence;H.2 Calculs rénaux; ; ; ; ; ; ; ; ;
Hôpital de la Providence;H.2.1.F DP calculs rénaux;*;*;*;<10;*;*;*;<10;
Hôpital de la Providence;H.2.2.P Intervention pour extraction des calculs en cas de DP calculs rénaux, pourcentage;*;*;*;<10;*;*;*;<10;
Hôpital de la Providence;H.3 Opérations de la vessie; ; ; ; ; ; ; ; ;
Hôpital de la Providence;H.3.1.F DP tumeur maligne de la vessie;*;*;*;<10;*;*;*;0;
Hôpital de la Providence;H.3.2.F Total des RTU de vessie;*;*;*;<10;*;*;*;0;
Hôpital de la Providence;H.3.3.F RTU de vessie en cas de tumeur maligne;*;*;*;<10;*;*;*;0;
Hôpital de la Providence;H.3.4.P RTU en cas de tumeur maligne avec instillation de médicaments chimiothérapeutiques dans la vessie, pourcentage;...;...;*;...;*;*;*;0;
Hôpital de la Providence;H.3.5.M Ablation de la vessie (cystectomie), mortalité;*;*;*;0;*;*;*;0;
Hôpital de la Providence;H.4 Résection prostatique transurétrale (TURP); ; ; ; ; ; ; ; ;
Hôpital de la Providence;H.4.1.M RTU de prostate, mortalité;*;*;*;0;*;*;*;0;
Hôpital de la Providence;H.5 Carcinome de la prostate; ; ; ; ; ; ; ; ;
Hôpital de la Providence;H.5.1.F Carcinome de la prostate (DP ou DS);*;*;*;22;*;*;*;<10;
Hôpital de la Providence;H.5.2.M Prostatovésiculectomie radicale, mortalité;*;*;*;0;*;*;*;0;
Hôpital de la Providence;I Affections orthopédiques et traumatologiques; ; ; ; ; ; ; ; ;
Hôpital de la Providence;I.1 Remplacement de l'articulation, endoprothèse totale (EPT); ; ; ; ; ; ; ; ;
Hôpital de la Providence;I.1.1.M Première implantation d'EPT de hanche (pas en cas de fracture), mortalité;0.0%;0.2%;0.0;233;0.0%;0.2%;0.0;224;
Hôpital de la Providence;I.1.2.M Changement d'EPT de hanche et changement de composants, mortalité;0.0%;0.6%;0.0;35;0.0%;0.8%;0.0;29;
Hôpital de la Providence;I.1.3.M Première implantation d'EPT de genou, mortalité;0.0%;0.1%;0.0;167;0.0%;0.1%;0.0;190;
Hôpital de la Providence;I.1.4.M Changement d'EPT de genou, mortalité;0.0%;0.5%;0.0;16;0.0%;0.5%;0.0;12;
Hôpital de la Providence;I.1.5.M EPT de hanche ou de genou après chirurgie tumorale, mortalité;*;*;*;0;*;*;*;0;
Hôpital de la Providence;I.2 Opérations de la colonne vertébrale; ; ; ; ; ; ; ; ;
Hôpital de la Providence;I.2.1.F Total des OP de la colonne vertébrale;*;*;*;0;*;*;*;0;
Hôpital de la Providence;I.2.2.M Discectomie (sans accident, tumeur, OP complexe de la colonne vertébrale), mortalité;*;*;*;0;*;*;*;0;
Hôpital de la Providence;I.3 Fractures métaphysaires de la hanche; ; ; ; ; ; ; ; ;
Hôpital de la Providence;I.3.1.M Fractures du col du fémur (âge >19), mortalité;*;*;*;<10;*;*;*;<10;
Hôpital de la Providence;I.3.2.M Fractures du col du fémur, âge 20-59, mortalité;*;*;*;0;*;*;*;0;
Hôpital de la Providence;I.3.3.M Fractures du col du fémur, âge 60-69, mortalité;*;*;*;0;*;*;*;<10;
Hôpital de la Providence;I.3.4.M Fractures du col du fémur, âge 70-79, mortalité;*;*;*;<10;*;*;*;<10;
Hôpital de la Providence;I.3.5.M Fractures du col du fémur, âge 80-84, mortalité;*;*;*;0;*;*;*;<10;
Hôpital de la Providence;I.3.6.M Fractures du col du fémur, âge 85-89, mortalité;*;*;*;0;*;*;*;0;
Hôpital de la Providence;I.3.7.M Fractures du col du fémur, âge >89, mortalité;*;*;*;0;*;*;*;0;
Hôpital de la Providence;I.3.8.M Fracture du trochanter (âge >19), mortalité;*;*;*;<10;*;*;*;<10;
Hôpital de la Providence;J Affections complexes, hétérogènes (indicateur pour peer review); ; ; ; ; ; ; ; ;
Hôpital de la Providence;J.1 Respiration artificielle; ; ; ; ; ; ; ; ;
Hôpital de la Providence;J.1.1.M Cas de respiration artificielle >95 h (à l’exclusion des nouveau­nés), mortalité;*;*;*;<10;*;*;*;<10;
Hôpital de la Providence;J.2 Etats septiques; ; ; ; ; ; ; ; ;
Hôpital de la Providence;J.2.1.M DP états septiques, mortalité;28.6%;17.8%;1.6;14;13.3%;20.3%;0.7;15;
Institution;Indikator;beobachtete Rate 2008;erwartete Rate 2008;SMR 2008;Fallzahl 2008;beobachtete Rate 2009;erwartete Rate 2009;SMR 2009;Fallzahl 2009;
Flury Stiftung Regionalspital Prättigau;A Erkrankungen des Herzens; ; ; ; ; ; ; ; ;
Flury Stiftung Regionalspital Prättigau;A.1 Herzinfarkt; ; ; ; ; ; ; ; ;
Flury Stiftung Regionalspital Prättigau;A.1.1.M HD Herzinfarkt (Alter >19), Mortalität;15.8%;12.5%;1.3;19;15.4%;12.2%;1.3;26;
Flury Stiftung Regionalspital Prättigau;A.1.2.M HD Herzinfarkt, Alter 20-44, Mortalität;*;*;*;<10;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;A.1.3.M HD Herzinfarkt, Alter 45-64, Mortalität;*;*;*;<10;*;*;*;<10;
Flury Stiftung Regionalspital Prättigau;A.1.4.M HD Herzinfarkt, Alter 65-84, Mortalität;*;*;*;<10;20.0%;9.8%;2.0;10;
Flury Stiftung Regionalspital Prättigau;A.1.5.M HD Herzinfarkt, Alter >84, Mortalität;*;*;*;<10;*;*;*;<10;
Flury Stiftung Regionalspital Prättigau;A.1.6.P Anteil HD Herzinfarkt (Alter >19) mit LHK oder OP an Koronargefässen;0.0%;51.5%;*;0;0.0%;52.2%;*;0;
Flury Stiftung Regionalspital Prättigau;A.1.7.M HD Herzinfarkt (Alter >19), Direktaufnahmen nicht weiter verlegt, Mortalität;10.0%;20.8%;0.5;10;26.7%;22.1%;1.2;15;
Flury Stiftung Regionalspital Prättigau;A.1.8.M HD Herzinfarkt (Alter >19), Zuverlegungen, Mortalität;*;*;*;<10;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;A.1.9.P Anteil akute Infarktformen n.n.bez. (Alter >19);*;*;*;<10;*;*;*;<10;
Flury Stiftung Regionalspital Prättigau;A.1.10.M Transmuraler Herzinfarkt (Alter >19), Mortalität;23.1%;14.7%;1.6;13;7.1%;13.1%;0.5;14;
Flury Stiftung Regionalspital Prättigau;A.1.11.M Nichttransmuraler Infarkt/NSTEMI (Alter >19), Mortalität;*;*;*;<10;*;*;*;<10;
Flury Stiftung Regionalspital Prättigau;A.2 Herzinsuffizienz; ; ; ; ; ; ; ; ;
Flury Stiftung Regionalspital Prättigau;A.2.1.M HD Herzinsuffizienz (Alter >19), Mortalität;9.1%;10.0%;0.9;33;3.2%;9.5%;0.3;31;
Flury Stiftung Regionalspital Prättigau;A.2.2.M HD Herzinsuffizienz, Alter 20-44, Mortalität;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;A.2.3.M HD Herzinsuffizienz, Alter 45-64, Mortalität;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;A.2.4.M HD Herzinsuffizienz, Alter 65-84, Mortalität;11.1%;8.4%;1.3;18;5.6%;7.5%;0.7;18;
Flury Stiftung Regionalspital Prättigau;A.2.5.M HD Herzinsuffizienz, Alter >84, Mortalität;6.7%;11.8%;0.6;15;0.0%;12.4%;0.0;13;
Flury Stiftung Regionalspital Prättigau;A.3 Linksherzkatheter (LHK); ; ; ; ; ; ; ; ;
Flury Stiftung Regionalspital Prättigau;A.3.1.F Fälle mit LHK mit Koronardiagnostik/­intervention insgesamt;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;A.3.2.M Fälle mit LHK bei Herzinfarkt (Alter >19), ohne OP am Herzen, Mortalität;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;A.3.3.M Fälle mit LHK ohne Herzinfarkt mit komplizierender Diagnose (Alter >19), Mortalität;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;A.3.4.M Fälle mit LHK ohne Herzinfarkt ohne komplizierende Diagnose (Alter >19), Mortalität;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;A.3.5.P Anteil therapeutische Katheter ohne Herzinfarkt ohne komplizierende Diagnose (Alter >19);*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;A.3.6.F Fälle mit LHK bei Kindern und Jugendlichen (Alter <20);*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;A.4 Herzrhythmusstörungen; ; ; ; ; ; ; ; ;
Flury Stiftung Regionalspital Prättigau;A.4.1.F HD Herzrhythmusstörungen;*;*;*;10;*;*;*;15;
Flury Stiftung Regionalspital Prättigau;A.5 Versorgung mit Schrittmacher oder implantierbarem Defibrillator; ; ; ; ; ; ; ; ;
Flury Stiftung Regionalspital Prättigau;A.5.1.F Schrittmacherversorgung (Implantationen und Wechsel, inkl. Defibrillatoren);*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;A.5.2.F Implantation oder Wechsel eines Defibrillators;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;A.6 Ablative Therapie; ; ; ; ; ; ; ; ;
Flury Stiftung Regionalspital Prättigau;A.6.1.F Kathetergestützte ablative Therapie;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;A.6.2.F Chirurgisch ablative Therapie;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;A.7 Operationen am Herzen; ; ; ; ; ; ; ; ;
Flury Stiftung Regionalspital Prättigau;A.7.1.F OP am Herzen insgesamt;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;A.7.2.F OP an Herzklappen;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;A.7.3.F OP an Koronargefässen;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;A.7.4.F Andere OP am Herzen;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;A.7.5.F Kombinierte OP am Herzen;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;A.7.6.F OP am Herzen bei Kindern und Jugendlichen  (Alter <20);*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;A.7.7.M Isolierter offener Aortenklappenersatz ohne weitere OP am Herzen, Mortalität;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;A.7.11.M OP nur an Koronargefässen bei Herzinfarkt (Alter >19), Mortalität;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;A.7.12.M OP nur an Koronargefässen ohne Herzinfarkt (Alter >19), Mortalität;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;A.7.13.M OP nur an Koronargefässen ohne Herzinfarkt, Alter 20-49, Mortalität;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;A.7.14.M OP nur an Koronargefässen ohne Herzinfarkt, Alter 50-59, Mortalität;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;A.7.15.M OP nur an Koronargefässen ohne Herzinfarkt, Alter 60-69, Mortalität;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;A.7.16.M OP nur an Koronargefässen ohne Herzinfarkt, Alter 70-79, Mortalität;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;A.7.17.M OP nur an Koronargefässen ohne Herzinfarkt, Alter >79, Mortalität;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;A.7.18.P Anteil Beatmungsfälle >95 h bei OP nur an Koronargefässen ohne Herzinfarkt (Alter >19);*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;B.1 Schlaganfall; ; ; ; ; ; ; ; ;
Flury Stiftung Regionalspital Prättigau;B.1.1.M HD Schlaganfall alle Formen (Alter >19), Mortalität;*;*;*;<10;20.0%;14.9%;1.3;10;
Flury Stiftung Regionalspital Prättigau;B.1.2.M HD Schlaganfall alle Formen, Alter 20-44, Mortalität;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;B.1.3.M HD Schlaganfall alle Formen, Alter 45-64, Mortalität;*;*;*;<10;*;*;*;<10;
Flury Stiftung Regionalspital Prättigau;B.1.4.M HD Schlaganfall alle Formen, Alter 65-84, Mortalität;*;*;*;<10;*;*;*;<10;
Flury Stiftung Regionalspital Prättigau;B.1.5.M HD Schlaganfall alle Formen, Alter >84, Mortalität;*;*;*;<10;*;*;*;<10;
Flury Stiftung Regionalspital Prättigau;B.1.6.P Anteil Schlaganfälle mit Stroke Unit Behandlung (Alter >19);...;...;*;...;0.0%;7.9%;*;0;
Flury Stiftung Regionalspital Prättigau;B.1.7.M Hirninfarkt (ICD­10 I63, Alter >19), Mortalität;*;*;*;<10;*;*;*;<10;
Flury Stiftung Regionalspital Prättigau;B.1.8.M Hirninfarkt (ICD­10 I63, Alter >19), Direktaufnahmen, Mortalität;*;*;*;<10;*;*;*;<10;
Flury Stiftung Regionalspital Prättigau;B.1.9.P Anteil Hirninfarkt (ICD­10 I63, Alter >19) mit systemischer Thrombolyse;0.0%;7.8%;*;0;0.0%;7.6%;*;0;
Flury Stiftung Regionalspital Prättigau;B.1.9.M Hirninfarkt (ICD­10 I63, Alter >19) mit systemischer Thrombolyse, Mortalität;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;B.1.10.M Intrazerebrale Blutung (ICD­10 I61, Alter >19), Mortalität;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;B.1.11.M Subarachnoidalblutung (ICD­10 I60, Alter >19), Mortalität;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;B.1.12.P Anteil Schlaganfall n.n.bez. (ICD­10 I64, Alter >19);*;*;*;<10;*;*;*;<10;
Flury Stiftung Regionalspital Prättigau;B.1.12.M Schlaganfall n.n.bez. (ICD­10 I64, Alter >19), Mortalität;*;*;*;<10;*;*;*;<10;
Flury Stiftung Regionalspital Prättigau;B.2 Transitorisch ischämische Attacke (TIA); ; ; ; ; ; ; ; ;
Flury Stiftung Regionalspital Prättigau;B.2.1.M TIA, Mortalität;*;*;*;<10;*;*;*;<10;
Flury Stiftung Regionalspital Prättigau;B.2.2.P Anteil TIA mit Stroke Unit Behandlung;...;...;*;...;0.0%;0.5%;*;0;
Flury Stiftung Regionalspital Prättigau;C Geriatrische Frührehablitation; ; ; ; ; ; ; ; ;
Flury Stiftung Regionalspital Prättigau;C.1 Geriatrische Frührehabilitation; ; ; ; ; ; ; ; ;
Flury Stiftung Regionalspital Prättigau;C.1.1.F Geriatrische Frührehabilitation;*;*;*;...;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;D Erkrankungen der Lunge; ; ; ; ; ; ; ; ;
Flury Stiftung Regionalspital Prättigau;D.1 Lungenentzündung (Pneumonie); ; ; ; ; ; ; ; ;
Flury Stiftung Regionalspital Prättigau;D.1.1.M HD Pneumonie, Mortalität;0.0%;6.5%;0.0;33;3.3%;8.6%;0.4;30;
Flury Stiftung Regionalspital Prättigau;D.1.2.M HD Pneumonie, Alter <20, Mortalität;*;*;*;<10;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;D.1.3.M HD Pneumonie, Alter 20-44, Mortalität;*;*;*;<10;*;*;*;<10;
Flury Stiftung Regionalspital Prättigau;D.1.4.M HD Pneumonie, Alter 45-64, Mortalität;*;*;*;<10;*;*;*;<10;
Flury Stiftung Regionalspital Prättigau;D.1.5.M HD Pneumonie, Alter 65-84, Mortalität;0.0%;7.2%;0.0;14;0.0%;7.0%;0.0;16;
Flury Stiftung Regionalspital Prättigau;D.1.6.M HD Pneumonie, Alter >84, Mortalität;*;*;*;<10;9.1%;12.5%;0.7;11;
Flury Stiftung Regionalspital Prättigau;D.1.7.M HD Pneumonie, Alter 1-19, ohne Tumor oder Mukoviszidose, Direktaufnahmen, Mortalität;*;*;*;<10;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;D.1.8.M HD Pneumonie, Alter >19, ohne Tumor oder Mukoviszidose, Direktaufnahmen, Mortalität;0.0%;5.4%;0.0;30;3.4%;7.3%;0.5;29;
Flury Stiftung Regionalspital Prättigau;D.2 Chronisch obstruktive Lungenkrankheit (COPD); ; ; ; ; ; ; ; ;
Flury Stiftung Regionalspital Prättigau;D.2.1.M COPD (Alter >19), Mortalität;11.1%;4.2%;2.7;18;0.0%;4.8%;0.0;18;
Flury Stiftung Regionalspital Prättigau;D.2.2.M COPD (Alter >19) mit FEV1 <35%, Mortalität;...;...;...;...;*;*;*;<10;
Flury Stiftung Regionalspital Prättigau;D.2.3.M COPD (Alter >19) mit FEV1 35-49%, Mortalität;...;...;...;...;*;*;*;<10;
Flury Stiftung Regionalspital Prättigau;D.2.4.M COPD (Alter >19) mit FEV1 50-69%, Mortalität;...;...;...;...;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;D.2.5.M COPD (Alter >19) mit FEV1 >69%, Mortalität;...;...;...;...;*;*;*;<10;
Flury Stiftung Regionalspital Prättigau;D.2.6.P Anteil COPD (Alter >19) mit FEV1 n.n.bez.;...;...;*;...;83.3%;33.5%;*;15;
Flury Stiftung Regionalspital Prättigau;D.2.6.M COPD (Alter >19) mit FEV1 n.n.bez., Mortalität;...;...;...;...;0.0%;5.8%;0.0;15;
Flury Stiftung Regionalspital Prättigau;D.3 Lungenkrebs; ; ; ; ; ; ; ; ;
Flury Stiftung Regionalspital Prättigau;D.3.1.F Stationäre Behandlungen bei Lungenkrebs;*;*;*;<10;*;*;*;<10;
Flury Stiftung Regionalspital Prättigau;D.4 Operationen an der Lunge; ; ; ; ; ; ; ; ;
Flury Stiftung Regionalspital Prättigau;D.4.1.M Grössere Resektionen von Lunge oder Bronchien insgesamt, Mortalität;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;D.4.2.P Anteil Pneumonektomien bei Bronchialkarzinom;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;D.4.2.M Pneumonektomie bei Bronchialkarzinom, Mortalität;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;D.4.3.M Teilresektion der Lunge bei Bronchialkarzinom, Mortalität;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;E Operationen an Bauchorganen und Schilddrüse (Viszeralchirurgie); ; ; ; ; ; ; ; ;
Flury Stiftung Regionalspital Prättigau;E.1 Entfernung der Gallenblase (Cholezystektomie); ; ; ; ; ; ; ; ;
Flury Stiftung Regionalspital Prättigau;E.1.1.M Cholezystektomie bei Gallensteinen und Cholezystitis, ohne Tumor, Mortalität;0.0%;0.1%;0.0;16;0.0%;0.7%;0.0;21;
Flury Stiftung Regionalspital Prättigau;E.1.2.P Anteil laparoskopische OP bei Cholezystektomie bei Gallensteinen und Cholezystitis, ohne Tumor;93.8%;92.0%;*;15;85.7%;93.1%;*;18;
Flury Stiftung Regionalspital Prättigau;E.2 Hernienoperationen; ; ; ; ; ; ; ; ;
Flury Stiftung Regionalspital Prättigau;E.2.1.M Herniotomie ohne OP am Darm, Mortalität;0.0%;0.1%;0.0;64;0.0%;0.2%;0.0;71;
Flury Stiftung Regionalspital Prättigau;E.2.2.M Herniotomie mit OP am Darm, Mortalität;*;*;*;<10;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;E.3 Eingriffe an der Schilddrüse; ; ; ; ; ; ; ; ;
Flury Stiftung Regionalspital Prättigau;E.3.1.F Resektion der Schilddrüse;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;E.3.2.P Anteil Beatmungsfälle >95 h bei Resektion der Schilddrüse;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;E.3.3.F Radiojodtherapie;*;*;*;...;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;E.4 Grosse Operationen an Dickdarm und Enddarm (kolorektale Operationen); ; ; ; ; ; ; ; ;
Flury Stiftung Regionalspital Prättigau;E.4.1.M Kolorektale Resektionen insgesamt, Mortalität;*;*;*;<10;*;*;*;<10;
Flury Stiftung Regionalspital Prättigau;E.4.2.M Kolonresektionen bei kolorektalem Karzinom ohne komplizierende Diagnose, Mortalität;*;*;*;<10;*;*;*;<10;
Flury Stiftung Regionalspital Prättigau;E.4.3.M Kolonresektionen bei kolorektalem Karzinom mit komplizierender Diagnose, Mortalität;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;E.4.4.M Rektumresektionen bei kolorektalem Karzinom, Mortalität;*;*;*;<10;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;E.4.5.M Kolorektale Resektionen, bei Divertikel ohne Abszess/Perforation, Mortalität;*;*;*;<10;*;*;*;<10;
Flury Stiftung Regionalspital Prättigau;E.4.6.M Kolorektale Resektionen, bei Divertikel mit Abszess/Perforation, Mortalität;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;E.4.7.M Kolorektale Resektionen bei Darmischämie, Mortalität;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;E.4.8.F Kolorektale Resektionen bei anderer Diagnose;*;*;*;<10;*;*;*;<10;
Flury Stiftung Regionalspital Prättigau;E.4.9.F Lokale kolorektale Eingriffe bei kolorektalem Karzinom;*;*;*;<10;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;E.4.10.F Lokale kolorektale Eingriffe ohne kolorektales Karzinom;*;*;*;<10;*;*;*;<10;
Flury Stiftung Regionalspital Prättigau;E.5 Operationen am Magen; ; ; ; ; ; ; ; ;
Flury Stiftung Regionalspital Prättigau;E.5.1.F Magenresektionen insgesamt;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;E.5.2.M Magenresektionen (ohne Ösophaguseingriff) bei Magenkarzinom, Mortalität;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;E.5.3.M Magenresektionen mit komplexem Eingriff am Ösophagus, Mortalität;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;E.6 Operationen am Ösophagus; ; ; ; ; ; ; ; ;
Flury Stiftung Regionalspital Prättigau;E.6.1.M Komplexe Eingriffe am Ösophagus, Mortalität;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;E.7 Operationen am Pankreas; ; ; ; ; ; ; ; ;
Flury Stiftung Regionalspital Prättigau;E.7.1.M Pankreasresektionen insgesamt (ohne Transplantation, Alter >19), Mortalität;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;F Operationen an Gefässen; ; ; ; ; ; ; ; ;
Flury Stiftung Regionalspital Prättigau;F.1 Extrakranielle Gefässoperationen; ; ; ; ; ; ; ; ;
Flury Stiftung Regionalspital Prättigau;F.1.1.M Extrakranielle Gefäss­OP, Mortalität;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;F.1.2.M Perkutane Stentimplantation in extrakranielle Gefässe, Mortalität;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;F.1.3.F Weitere extrakranielle Gefäss­OP bei OP an Herz oder Aorta;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;F.2 Operationen bei Erweiterung der Aorta (Aortenaneurysma); ; ; ; ; ; ; ; ;
Flury Stiftung Regionalspital Prättigau;F.2.1.F OP an der Aorta insgesamt;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;F.2.2.M Offene abdominale OP bei Aortenaneurysma nicht rupturiert, Mortalität;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;F.2.3.M Endovaskuläre abdominale OP bei Aortenaneurysma nicht rupturiert, Mortalität;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;F.2.4.F OP bei thorakalem oder thorakoabdominalem Aneurysma (ohne Aortenklappe);*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;F.2.5.M Aortenaneurysma rupturiert, Mortalität;*;*;*;0;*;*;*;0;
Flury Stiftung Regionalspital Prättigau;F.3 Operationen an Becken­/Beinarterien; ; ; ; ; ; ; ; ;
Flury Stiftung Regionalspital Prättigau;F.3.1.F OP an Becken­/Beinarterien insgesamt;*;*;*;0;*;*;*;<10;
